recipient_parent_name,top_words_from_serv_desc,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number,analysis_date,raw_data_download_date
TRI-COR INDUSTRIES  INC.,"telecom, telecommunications",8,44431286.4,65199800.0,2016-09-12 13:30:50.000000,2019-09-25 00:00:00.000000,2850 EISENHOWER AVE STE 300,,ALEXANDRIA,VA,VIRGINIA,223144565,8.0,5714583824,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES  INC.,"support, professional:, program, management, management:",21,44034152.31,114737665.47999991,2015-12-21 00:00:00.000000,2022-04-30 00:00:00.000000,3152 PRESIDENTIAL DR,,FAIRBORN,OH,OHIO,453242039,10.0,9374310000,6143407273,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
HEWLETT PACKARD ENTERPRISE COMPANY,"telecom, data, centers, storage, support",2,42732756.08,76282342.42,2016-08-02 17:39:27.000000,2020-06-26 00:00:00.000000,13600 EDS DR A3S-B53,,HERNDON,VA,VIRGINIA,201713299,10.0,7037333793,7037422674,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
METROPOLITAN INTERPRETERS & TRANSLATORS INC,"translation, support, administrative:, interpreting, admin",7,42542764.629999995,42542764.629999995,2010-03-23 00:00:00.000000,2018-09-16 00:00:00.000000,110 E 42ND ST STE 802,,NEW YORK,NY,NEW YORK,100178538,12.0,2136734710,2136734711,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
JAVA PRODUCTIONS  INC.,"support, professional:, program, management",2,41683480.519999996,44738733.32,2014-04-03 00:00:00.000000,2019-10-29 00:00:00.000000,2000 KRAFT DR STE 1200,,BLACKSBURG,VA,VIRGINIA,240605130,9.0,5408183098,5403013615,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
PROCENTRIX  INC.,"telecom, systems, development, strategy, architecture",5,41593316.36,49795596.339999996,2011-05-23 00:00:00.000000,2019-05-31 00:00:00.000000,"2201 COOPERATIVE WAY, SUITE 550",,HERNDON,VA,VIRGINIA,201714583,11,7036352627,7036352629,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
VISIONARY INTEGRATION PROFESSIONALS  INC.,"telecom, strategy, architecture, programming, systems",11,39772120.7,60419196.7,2009-08-31 00:00:00.000000,2020-05-31 00:00:00.000000,160 BLUE RAVINE RD STE D,,FOLSOM,CA,CALIFORNIA,956304718,7.0,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
JACOBS ENGINEERING GROUP INC.,"support, telecom, professional:, telecommunications, transmission",3,38632900.19,41774371.01,2011-09-20 00:00:00.000000,2018-09-08 00:00:00.000000,"11091 SUNSET HILLS RD, STE777",,RESTON,VA,VIRGINIA,201905380,11,7038964033,7034359715,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
DENALI HOLDING INC,"software, adp, information, technology, equipment",200,37432376.519999936,78487810.66999991,2009-09-23 00:00:00.000000,2020-08-25 00:00:00.000000,1 DELL WAY,,ROUND ROCK,TX,TEXAS,786827000,31.0,5127285786,5122834810,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
JDL DIGITAL SYSTEMS INC,"video, recording, reproducing, equipment, support",19,36871039.77,49892577.77,2014-09-16 00:00:00.000000,2018-09-29 00:00:00.000000,15369 NE 90TH ST,,REDMOND,WA,WASHINGTON,980523562,01,3179651078,4254678090,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
BEN FITZGERALD REAL ESTATE SERVICES  L.L.C.,"housekeeping, facilities, operations, support, custodial",26,35804266.300000004,37390335.5,2011-12-22 00:00:00.000000,2014-03-31 00:00:00.000000,1530 S SOUTHWEST LOOP 323,,TYLER,TX,TEXAS,757012556,,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
INSIGHT TECHNOLOGY SOLUTIONS INC.,"support, professional:, program, management",4,35565891.52,102094590.0,2014-09-16 00:00:00.000000,2022-06-30 00:00:00.000000,17251 MELFORD BLVD # 100,,BOWIE,MD,MARYLAND,207154415,5.0,3018601121,3018601971,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
VISTA OUTDOOR SALES LLC,"30mm, ammunition,, guns,, miscellaneous, ammunition",201,35317648.24000001,482547043.44000006,2015-12-11 00:00:00.000000,2022-09-26 00:00:00.000000,1 VISTA WAY,,ANOKA,MN,MINNESOTA,553036794,06,7637126056,7633232506,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ALL POINTS LOGISTICS  INC.,"adp, components, equipment, support, software",6,34424098.55,35752467.07,2010-06-15 00:00:00.000000,2015-04-30 00:00:00.000000,2567 ATHENS HWY,,GAINESVILLE,GA,GEORGIA,305077457,09,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CREATIVE CORRECTIONS  L.L.C.,"support, management:, housekeeping, facilities, operations",14,33232556.7,87918548.22000001,2008-05-13 00:00:00.000000,2022-09-17 00:00:00.000000,6675 CALDER AVE,,BEAUMONT,TX,TEXAS,777066001,14,4098669920,4098669922,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
"AKIMA GLOBAL SERVICES, LLC","housekeeping, guard",1,33056834.23,33056834.23,2014-05-01 00:00:00.000000,2024-04-30 00:00:00.000000,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,,ANCHORAGE,AK,ALASKA,99502,,7037666837,7037666906,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
ENGILITY CORPORATION,"support, professional:, program, management, legal",10,32953766.720000003,32953766.720000003,2013-02-22 00:00:00.000000,2018-09-30 00:00:00.000000,20110 ASHBROOK PL STE 220,,ASHBURN,VA,VIRGINIA,201475060,10.0,5712918900,5712918957,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
COMPUTER SCIENCES CORPORATION,"support, administrative:, background, investigation, equipment",1,31943295.4,53604055.4,2010-09-27 00:00:00.000000,2017-09-30 00:00:00.000000,15000 CONFERENCE CENTER DR,,CHANTILLY,VA,VIRGINIA,20151,,7036413735,7038491000,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
MYTHICS  INC.,"software, adp, information, technology, equipment",46,31563811.90000001,31728310.95000001,2009-02-09 00:00:00.000000,2019-04-01 00:00:00.000000,1439 N GREAT NECK RD,,VIRGINIA BEACH,VA,VIRGINIA,234541347,02,,,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
CORP TEN INTERNATIONAL,"equipment, recording, reproducing, video, radio",13,30997122.549999997,41553635.41,2016-09-09 13:09:22.000000,2018-09-28 00:00:00.000000,2303 DULLES STATION BLVD STE 205,,HERNDON,VA,VIRGINIA,201716356,11.0,7274716988,7274716773,2018-06-24 21:06:38.085717,2018-06-24 00:00:00.000000
