recipient_parent_name,number_of_prime_awards,current_total_value_of_awards_USD,potential_total_value_of_awards,first_contract_start_date,last_contract_end_date,recipient_address_line_1,recipient_address_line_2,recipient_city_name,recipient_state_code,recipient_state_name,recipient_zip_4_code,recipient_congressional_district,recipient_phone_number,recipient_fax_number
KNIGHT POINT SYSTEMS  LLC,19,290709835.0300001,881025277.1799996,2011-08-15 00:00:00,2021-06-29 00:00:00,1775 WIEHLE AVE STE 101,,RESTON,VA,VIRGINIA,201905109,11.0,7036577051,5712663106
GLOBAL PRECISION SYSTEMS  LLC,20,286071906.85999995,1683557406.3999999,2015-09-23 00:00:00,2019-07-27 00:00:00,4600 DEBARR RD STE 200,,ANCHORAGE,AK,ALASKA,995083103,00,9073348348,9075632742
CACI INTERNATIONAL INC,7,270917848.18,656015861.13,2007-10-22 00:00:00,2021-03-17 00:00:00,14370 NEWBROOK DRIVE,,CHANTILLY,VA,VIRGINIA,201512218,10,7036794137,7036793402
MCKINSEY & COMPANY  INC.,14,218993402.36000004,284532259.77000004,2015-10-21 00:00:00,2019-05-23 00:00:00,1200 19TH ST NW STE 1100,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200362412,0.0,2026621185,2026623256
PALANTIR TECHNOLOGIES INC.,17,210030878.39999998,511137693.27,2011-02-24 00:00:00,2018-11-27 00:00:00,100 HAMILTON AVE STE 300,,PALO ALTO,CA,CALIFORNIA,943011651,18.0,6508150200,6506182298
BEN FITZGERALD REAL ESTATE SERVICES  L.L.C.,165,198164093.43000004,239318637.8600001,2010-12-28 00:00:00,2019-04-30 00:00:00,1530 S SOUTHWEST LOOP 323,,TYLER,TX,TEXAS,757012556,,,
FORFEITURE SUPPORT ASSOCIATES  LLC,24,197134802.88000005,197134802.88000005,2010-03-23 00:00:00,2016-09-30 00:00:00,20110 ASHBROOK PL STE 220,,ASHBURN,VA,VIRGINIA,201475060,10,5712918900,5712918957
CAP GEMINI,13,192649834.64999998,236690109.25,2009-09-25 00:00:00,2023-06-30 00:00:00,1900 CAMPUS COMMONS DR #250,,RESTON,VA,VIRGINIA,201911560,11,5713361618,5713361700
PHACIL  INC.,3,184069464.84,193242507.54,2013-07-04 00:00:00,2018-09-09 00:00:00,950 N GLEBE RD STE 910,,ARLINGTON,VA,VIRGINIA,222034173,08,7035261800,7037387100
STG INTERNATIONAL  INC.,2,179073654.4,904279833.6,2008-11-20 00:00:00,2023-02-19 00:00:00,99 CANAL CTR PLZ STE 500,,ALEXANDRIA,VA,VIRGINIA,223145504,8.0,7035786030,5712556545
DEV TECHNOLOGY GROUP  INC.,24,164835388.05000004,416714485.7699999,2011-06-01 00:00:00,2022-02-28 00:00:00,1984 ISAAC NEWTON SQ W STE 302,,RESTON,VA,VIRGINIA,201905041,11.0,7038608135,7038608138
GRANT THORNTON INTERNATIONAL LTD,13,129198531.82,211537456.38,2010-04-01 00:00:00,2023-04-23 00:00:00,333 JOHN CARLYLE ST STE 500,,ALEXANDRIA,VA,VIRGINIA,223145767,08,,
GENERAL DYNAMICS CORPORATION,24,128909913.71,355797270.35999995,2010-05-11 00:00:00,2020-12-31 00:00:00,3170 FAIRVIEW PARK DR,,FALLS CHURCH,VA,VIRGINIA,220424516,11,7038761243,
UNIVERSAL LANGUAGE CORPORATION,10,118690381.80999997,242131219.81000003,2011-12-28 00:00:00,2013-09-07 00:00:00,97 12 63RD DR STE 2 A,,REGO PARK,NY,NEW YORK,113742244,06,7189979369,7184590331
ISYS  LLC,6,109989327.34,434554036.3000001,2014-10-16 00:00:00,2018-12-08 00:00:00,11715 CRIPPEN CT,,GREAT FALLS,VA,VIRGINIA,220661624,10,,
AFOGNAK NATIVE CORPORATION,25,106514795.91000003,139221085.24999994,2014-05-01 00:00:00,2019-10-31 00:00:00,3909 ARCTIC BLVD STE 400,,ANCHORAGE,AK,ALASKA,995030000,,9072229500,9072229501
360 IT INTEGRATED SOLUTIONS,7,99058469.68,131872201.78999999,2014-09-15 00:00:00,2020-09-29 00:00:00,1943 ISAAC NEWTON SQ E #200,,RESTON,VA,VIRGINIA,201905014,11.0,8884580345,7034373709
NET DIRECT SYSTEMS  LLC,1261,95057036.91999982,134527913.55999982,2010-02-01 00:00:00,2018-12-13 00:00:00,2524 RELIANCE AVE,,APEX,NC,NORTH CAROLINA,275396346,4.0,,
NATIVE ENERGY & TECHNOLOGY  INC.,9,91875064.11,344058100.66,2017-06-06 08:27:49,2027-06-05 00:00:00,12793 COGBURN AVE,,SAN ANTONIO,TX,TEXAS,782492239,20.0,2102316060,2102316098
HARRIS CORPORATION,15,81262786.38,381808060.6399999,2010-05-03 00:00:00,2022-10-02 00:00:00,2400 PALM BAY RD NE,,PALM BAY,FL,FLORIDA,329053377,8.0,3217276361,
U.S. BANCORP,4,80775177.37,116507561.16999999,2012-09-28 00:00:00,2023-04-27 00:00:00,800 NICOLLET MALL STE 1500,,MINNEAPOLIS,MN,MINNESOTA,554027000,05,2022610806,2022610800
AIRCRAFT TRANSPORT SERVICES  INC.,8,78958426.0,174419086.0,2016-12-01 00:00:00,2020-11-30 00:00:00,4285 SW MARTIN HWY,,PALM CITY,FL,FLORIDA,349908615,18.0,5612104373,
JATOM SYSTEMS INC,5,76231779.09,96593064.80000001,2011-07-20 00:00:00,2020-01-19 00:00:00,15004 NORTHRIDGE DR # 100,,CHANTILLY,VA,VIRGINIA,201513817,10.0,7034665220,7034665299
XL ASSOCIATES  INC.,28,73251941.21999997,82247729.77999997,2014-08-04 00:00:00,2021-11-24 00:00:00,8614 WESTWOOD CENTER DR STE 700,,VIENNA,VA,VIRGINIA,221822264,11.0,7038480400,7032569508
NET DIRECT SYSTEMS  LLC,73,71683687.14,140757721.26000002,2011-12-28 00:00:00,2016-02-25 00:00:00,2524 RELIANCE AVE,,APEX,NC,NORTH CAROLINA,275396346,04,,
G4S PLC,14,71543309.32000001,105877969.74000001,2011-12-23 00:00:00,2014-03-24 00:00:00,4200 WACKENHUT DR STE 100,,PALM BEACH GARDENS,FL,,334104242,FL22,,
STRATEGIC ENTERPRISE SOLUTIONS  INC.,9,70149114.39,558636641.91,2014-09-30 00:00:00,2021-09-08 00:00:00,11951 FREEDOM DR STE 1300,,RESTON,VA,VIRGINIA,201905642,11,7032514848,7032514440
K'OYITL'OTS'INA LIMITED,44,69766847.61999999,165846525.66000006,2009-12-24 00:00:00,2023-02-28 00:00:00,1603 COLLEGE RD,,FAIRBANKS,AK,ALASKA,997094175,0.0,9074528119,9074528109
ACCENTURE INC.,4,63356892.0,157090562.4,2017-04-27 00:00:00,2021-09-27 00:00:00,44 CANAL CENTER PLAZA SUITE 305,,ALEXANDRIA,VA,VIRGINIA,223141552,8.0,5407299926,5713662006
MIRACLE SYSTEMS LLC,7,55117443.599999994,247980121.39999998,2017-07-05 10:34:10,2022-07-31 00:00:00,"1555 WILSON BLVD, SUITE 600",,ARLINGTON,VA,VIRGINIA,222092445,08,5713311355,2023153261
BOWHEAD SUPPORT GROUP LLC,3,52774699.1,52774699.1,2010-09-28 00:00:00,2018-03-29 00:00:00,3201 C ST STE 801,,ANCHORAGE,AK,ALASKA,995033934,0.0,2563823260,2563823265
THE MITRE CORPORATION,4,52139330.06,52573630.06,2012-02-13 00:00:00,2013-08-31 00:00:00,7515 COLSHIRE DR,,MC LEAN,VA,VIRGINIA,221027508,08,,
INTERNATIONAL BUSINESS MACHINES CORPORATION,5,51572713.61,57023206.17,2009-09-25 00:00:00,2017-08-31 00:00:00,6710 ROCKLEDGE DRIVE,,BETHESDA,MD,MARYLAND,208171834,8.0,8003336705,8885200533
"CLEARAVENUE, LLC",10,51430014.86,95348206.52,2012-09-30 00:00:00,2020-01-13 00:00:00,3 CEDARWOOD DR,,MORGANTOWN,WV,WEST VIRGINIA,26505,,,
NAKAMOTO GROUP  INC.  THE,8,49318407.809999995,68158577.96,2008-05-29 00:00:00,2020-05-13 00:00:00,3347 ECLIPSE DR,,JEFFERSON,MD,MARYLAND,217557603,6.0,3015801706,3014686536
WEST PUBLISHING CORPORATION,10,47628895.35000001,107430425.42999999,2010-05-03 00:00:00,2021-03-31 00:00:00,610 OPPERMAN DR,,EAGAN,MN,MINNESOTA,551231340,2.0,6512443819,8007049378
FOUR POINTS TECHNOLOGY  L.L.C.,17,46309662.430000015,215997249.87000006,2010-07-02 00:00:00,2021-09-26 00:00:00,14900 CONFERENCE CENTER DR STE 100,,CHANTILLY,VA,VIRGINIA,201513813,10.0,7036576101,7036576135
TRI-COR INDUSTRIES  INC.,8,44431286.4,65199800.0,2016-09-12 13:30:50,2019-09-25 00:00:00,2850 EISENHOWER AVE STE 300,,ALEXANDRIA,VA,VIRGINIA,223144565,8.0,5714583824,
SOLUTIONS THROUGH INNOVATIVE TECHNOLOGIES  INC.,21,44034152.31,114737665.47999991,2015-12-21 00:00:00,2022-04-30 00:00:00,3152 PRESIDENTIAL DR,,FAIRBORN,OH,OHIO,453242039,10.0,9374310000,6143407273
HEWLETT PACKARD ENTERPRISE COMPANY,2,42732756.08,76282342.42,2016-08-02 17:39:27,2020-06-26 00:00:00,13600 EDS DR A3S-B53,,HERNDON,VA,VIRGINIA,201713299,10.0,7037333793,7037422674
METROPOLITAN INTERPRETERS & TRANSLATORS INC,7,42542764.629999995,42542764.629999995,2010-04-28 00:00:00,2018-09-16 00:00:00,110 E 42ND ST STE 802,,NEW YORK,NY,NEW YORK,100178538,12,2136734710,2136734711
JAVA PRODUCTIONS  INC.,2,41683480.519999996,44738733.32,2014-04-03 00:00:00,2019-10-29 00:00:00,2000 KRAFT DR STE 1200,,BLACKSBURG,VA,VIRGINIA,240605130,9.0,5408183098,5403013615
PROCENTRIX  INC.,5,41593316.36,49795596.339999996,2011-06-01 00:00:00,2019-05-31 00:00:00,"2201 COOPERATIVE WAY, SUITE 550",,HERNDON,VA,VIRGINIA,201714583,11,7036352627,7036352629
VISIONARY INTEGRATION PROFESSIONALS  INC.,11,39772120.7,60419196.7,2009-08-31 00:00:00,2020-05-31 00:00:00,160 BLUE RAVINE RD STE D,,FOLSOM,CA,CALIFORNIA,956304718,7.0,,
JACOBS ENGINEERING GROUP INC.,3,38632900.19,41774371.01,2011-09-20 00:00:00,2018-09-08 00:00:00,"11091 SUNSET HILLS RD, STE777",,RESTON,VA,VIRGINIA,201905380,11,7038964033,7034359715
DENALI HOLDING INC,200,37432376.51999993,78487810.66999994,2011-02-14 00:00:00,2020-08-25 00:00:00,1 DELL WAY,,ROUND ROCK,TX,TEXAS,786827000,31.0,5127285786,5122834810
JDL DIGITAL SYSTEMS INC,19,36871039.77,49892577.77,2014-09-16 00:00:00,2018-09-29 00:00:00,15369 NE 90TH ST,,REDMOND,WA,WASHINGTON,980523562,01,3179651078,4254678090
BEN FITZGERALD REAL ESTATE SERVICES  L.L.C.,26,35804266.300000004,37390335.5,2011-12-22 00:00:00,2014-03-31 00:00:00,1530 S SOUTHWEST LOOP 323,,TYLER,TX,TEXAS,757012556,,,
INSIGHT TECHNOLOGY SOLUTIONS INC.,4,35565891.52,102094590.0,2014-09-16 00:00:00,2022-06-30 00:00:00,17251 MELFORD BLVD # 100,,BOWIE,MD,MARYLAND,207154415,5.0,3018601121,3018601971
VISTA OUTDOOR SALES LLC,201,35317648.24000001,482547043.44000006,2016-01-11 09:02:10,2022-09-26 00:00:00,1 VISTA WAY,,ANOKA,MN,MINNESOTA,553036794,06,7637126056,7633232506
ALL POINTS LOGISTICS  INC.,6,34424098.55,35752467.07,2010-06-15 00:00:00,2015-04-30 00:00:00,2567 ATHENS HWY,,GAINESVILLE,GA,,305077457,GA09,,
CREATIVE CORRECTIONS  L.L.C.,14,33232556.7,87918548.22000001,2008-05-13 00:00:00,2022-09-17 00:00:00,6675 CALDER AVE,,BEAUMONT,TX,TEXAS,777066001,14.0,4098669920,4098669922
AKIMA GLOBAL SERVICES  LLC,1,33056834.23,33056834.23,2014-05-01 00:00:00,2024-04-30 00:00:00,3901 OLD INTERNATIONAL AIRPORT RD STE 200-G,,ANCHORAGE,AK,ALASKA,99502,0.0,7037666837,7037666906
ENGILITY CORPORATION,10,32953766.720000003,32953766.720000003,2013-02-22 00:00:00,2018-09-30 00:00:00,20110 ASHBROOK PL STE 220,,ASHBURN,VA,VIRGINIA,201475060,10.0,5712918900,5712918957
COMPUTER SCIENCES CORPORATION,1,31943295.4,53604055.4,2010-09-27 00:00:00,2017-09-30 00:00:00,15000 CONFERENCE CENTER DR,,CHANTILLY,VA,VIRGINIA,20151,,7036413735,7038491000
MYTHICS  INC.,46,31563811.90000001,31728310.95000001,2009-02-09 00:00:00,2019-04-01 00:00:00,1439 N GREAT NECK RD,,VIRGINIA BEACH,VA,VIRGINIA,234541347,02,,
CORP TEN INTERNATIONAL,13,30997122.55,41553635.41,2016-09-09 13:09:22,2018-09-28 00:00:00,2303 DULLES STATION BLVD STE 205,,HERNDON,VA,VIRGINIA,201716356,11,7274716988,7274716773
MOTOROLA  INC,30,29008700.56,31040853.979999997,2008-03-12 00:00:00,2019-09-20 00:00:00,7031 COLUMBIA GATEWAY DR FL 3,,COLUMBIA,MD,MARYLAND,210462583,3.0,4107126200,4107124996
PRICEWATERHOUSECOOPERS LLP,10,28815431.67,28815431.67,2011-03-30 00:00:00,2018-09-26 00:00:00,1800 TYSONS BLVD 6TH FL,,MCLEAN,VA,VIRGINIA,221024257,11.0,2023202397,
ERNST & YOUNG LLP,8,28495498.7,34967578.699999996,2011-09-29 00:00:00,2018-09-29 00:00:00,"1101 NEW YORK AVENUE, NW",,WASHINGTON,DC,DISTRICT OF COLUMBIA,200054213,0.0,7037470825,8664847420
LEGAL INTERPRETING SERVICES  INC.,12,27202009.99,28050232.229999997,2012-09-10 00:00:00,2021-09-14 00:00:00,"81 WILLOUGHBY STREET, STE 602",,BROOKLYN,NY,NEW YORK,112015232,8.0,7182378919,7187490113
PALANTIR TECHNOLOGIES INC.,3,25531433.36,46849215.370000005,2012-01-17 00:00:00,2018-09-13 00:00:00,1530 PAGE MILL RD,,PALO ALTO,CA,CALIFORNIA,943041125,18,,
ESCGOV  INC.,43,24796965.730000008,26615813.730000008,2010-08-14 00:00:00,2019-11-14 00:00:00,7726 FALSTAFF RD,,MC LEAN,VA,VIRGINIA,221020284,11.0,,
MICROSOFT CORPORATION,11,24763860.090000004,46607155.33999999,2009-09-18 00:00:00,2021-03-27 00:00:00,ONE MICROSOFT WAY,,REDMOND,WA,WASHINGTON,980528300,1.0,3017718324,4257086748
FORFEITURE SUPPORT ASSOCIATES  LLC,3,24641850.36,24641850.36,2012-01-06 00:00:00,2014-10-01 00:00:00,20110 ASHBROOK PL STE 220,,ASHBURN,VA,VIRGINIA,201475060,10,5712918900,5712918957
ADC LTD NM,6,23220614.95,23220614.95,2015-09-25 00:00:00,2019-03-31 00:00:00,2100 AIR PARK RD SE STE 120,,ALBUQUERQUE,NM,NEW MEXICO,871063227,01,5054922657,5055037720
DATA SYSTEMS ANALYSTS  INC.,3,22490888.71,41973515.38,2017-08-25 09:53:19,2020-09-29 00:00:00,1760 OLD MEADOW RD STE 100,,MC LEAN,VA,VIRGINIA,221024330,8.0,7037487045,7037487001
SPECIALTY VEHICLE SOLUTIONS  LLC,3,21021671.42,21021671.42,2010-07-08 00:00:00,2018-11-08 00:00:00,804 SILVIA ST,,TRENTON,NJ,NEW JERSEY,086283239,12,6098821900,6098822330
INDUSTRIAL VIDEO & CONTROL CO.  LLC,3,20378148.0,30539256.0,2014-09-17 00:00:00,2018-08-23 00:00:00,330 NEVADA ST,,NEWTON,MA,MASSACHUSETTS,024601458,4.0,6174673059,6176870751
COBHAM PLC,2,20168950.38,30725463.24,2009-08-20 00:00:00,2017-09-17 00:00:00,486 AMHERST ST UNIT 1,,NASHUA,NH,NEW HAMPSHIRE,03063,,6035462120,6038806965
CHENEGA CORPORATION,8,20165098.939999998,196564540.14,2017-11-22 11:07:52,2028-05-29 00:00:00,5726 W HAUSMAN RD STE 100,,SAN ANTONIO,TX,TEXAS,782491651,20,2566650610,
ARC ASPICIO LLC,2,20086617.6,29109350.4,2013-08-01 00:00:00,2019-11-30 00:00:00,2613 24TH ST N,,ARLINGTON,VA,VIRGINIA,222074908,8.0,7034652060,7038524491
INTEGRITYONE PARTNERS  INC.,7,19162344.9,20292430.5,2009-09-25 00:00:00,2019-05-31 00:00:00,1900 CAMPUS COMMONS DR,,RESTON,VA,VIRGINIA,201911559,11,,
INTEGRAL CONSULTING SERVICES INCORPORATED,9,18877551.360000003,28102675.020000007,2016-05-01 00:00:00,2020-10-30 00:00:00,704 QUINCE ORCHARD RD STE 290,,GAITHERSBURG,MD,MARYLAND,208781770,06,3019900880,3019903037
DLH HOLDINGS CORP.,5,18677167.610000003,18677167.610000003,2016-07-22 00:00:00,2018-11-11 00:00:00,8737 COLESVILLE RD STE 1100,,SILVER SPRING,MD,MARYLAND,209103956,08,7705005538,
NEUMANN BROTHERS  INC.,6,18240043.76,18240043.76,2014-11-07 00:00:00,2018-01-16 00:00:00,1435 OHIO ST,,DES MOINES,IA,IOWA,503143423,3.0,5152430156,5152430165
VERITAS CAPITAL FUND II  L.P.,5,17499444.2,17499444.2,2010-09-01 00:00:00,2019-03-31 00:00:00,11411 ISAAC NEWTON SQUARE SOUTH,,RESTON,VA,VIRGINIA,201905005,11,,
CONDUIT LANGUAGE SPECIALISTS  INC.,6,17461670.029999997,17461670.029999997,2012-09-10 00:00:00,2018-09-16 00:00:00,206 WINCHESTER ST,,PARIS,KY,KENTUCKY,403611933,06,8183894333,8886118854
BARLING BAY  LLC,10,16956314.0,16956314.0,2012-07-01 00:00:00,2013-07-31 00:00:00,1101 REMOUNT RD STE 100,,NORTH CHARLESTON,SC,SOUTH CAROLINA,294063549,06,8437256830,8437256831
MCMANIS ASSOCIATES INC.,10,16253232.37,21466001.76,2011-09-26 00:00:00,2020-03-27 00:00:00,100 STATE ST STE 103,,ERIE,PA,PENNSYLVANIA,165071453,3.0,8144544000,8664382210
BOWHEAD COMMUNICATION SERVICES  LLC,5,15493559.75,85965965.84,2016-09-30 00:00:00,2023-09-30 00:00:00,4900 SEMINARY RD STE 1200,,ALEXANDRIA,VA,TEXAS,223111855,08,2562172018,
WEXLER TECHNICAL SOLUTIONS INCORPORATED,1,15438028.36,30691266.76,2012-07-18 00:00:00,2018-12-31 00:00:00,13942 BROMFIELD RD,,GERMANTOWN,MD,MARYLAND,20874,,3019164321,3019164321
SAP AMERICA INC,5,15384186.1,15384186.1,2015-05-13 00:00:00,2027-06-04 00:00:00,601 108TH AVE NE STE 1000,,BELLEVUE,WA,WASHINGTON,980044750,9.0,7035067699,7035067695
LOGISTICS APPLICATIONS INC.,5,14706735.85,22071501.769999996,2008-11-04 00:00:00,2022-09-29 00:00:00,2760 EISENHOWER AVE STE 202,,ALEXANDRIA,VA,VIRGINIA,223144576,08,7033179800,7033179806
LIONBRIDGE TECHNOLOGIES  INC.,13,14417000.0,60268000.0,2010-05-13 00:00:00,2022-03-23 00:00:00,1050 WINTER ST STE 2300,,WALTHAM,MA,MASSACHUSETTS,024511248,5.0,2026522004,3014951505
INSERSO CORPORATION,4,14318408.739999998,602865793.63,2015-09-30 00:00:00,2021-08-28 00:00:00,8229 BOONE BLVD STE 800,,VIENNA,VA,VIRGINIA,221822623,11.0,7036429598,7036426663
COMPUTER SCIENCES CORPORATION,1,14185656.0,14185656.0,2012-01-16 00:00:00,2017-08-31 00:00:00,15000 CONFERENCE CENTER DR,,CHANTILLY,VA,,201513819,VA10,7036413735,7038491000
MANGI ENVIRONMENTAL GROUP  INC.,6,13863084.76,13863084.76,2014-07-31 00:00:00,2018-09-21 00:00:00,7927 JONES BRANCH DR STE 150N,,MC LEAN,VA,,221023328,VA11,7036224641,7037604899
I S S ACTION  INC,4,13539246.520000001,162447578.48,2018-01-19 00:00:00,2023-01-04 00:00:00,158-12 ROCKAWAY BLVD.,,JAMAICA,NY,NEW YORK,114344840,05,7189783000,7189783001
ADVANCED TECHNOLOGIES AND LABORATORIES (ATL) INTERNATIONAL,3,13425025.120000001,14085236.08,2011-09-27 00:00:00,2018-09-15 00:00:00,20010 CENTURY BLVD,,GERMANTOWN,MD,MARYLAND,208741115,06,,
OLIN CORPORATION,63,13242280.319999998,13242280.319999998,2010-04-01 00:00:00,2018-04-24 00:00:00,600 POWDER MILL RD,,EAST ALTON,IL,ILLINOIS,620241273,12,6182583511,6182583370
ACUITY  INC.,4,13237448.04,27560513.96,2015-09-25 00:00:00,2021-06-01 00:00:00,1300 PENNSYLVANIA AVE NW STE 700,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200043024,00,7037660977,7037660983
OPTECH  LLC,4,12857426.18,27716691.12,2017-05-17 00:00:00,2020-06-16 00:00:00,3290 W BIG BEAVER RD STE 220,,TROY,MI,MICHIGAN,480842903,11,3136577120,3139629001
PEOPLE'S ACCIDENT INFORMATION SERVICE  INC.,6,12463460.229999999,12463460.229999999,2012-05-25 00:00:00,2018-05-31 00:00:00,25 18 FRANCIS LEWIS BLVD,,FLUSHING,NY,NEW YORK,113581100,6.0,7187466699,7187460422
ALLWORLD LANGUAGE CONSULTANTS INC.,6,12347857.16,12347857.16,2010-12-10 00:00:00,2018-09-16 00:00:00,172 ROLLINS AVE,,ROCKVILLE,MD,MARYLAND,208524005,8.0,,
TENICA AND ASSOCIATES LLC,4,12276180.58,15968487.1,2015-08-01 00:00:00,2020-01-31 00:00:00,1199 N. FAIRFAX ST,,ALEXANDRIA,VA,VIRGINIA,223141483,8.0,7036479752,7036479752
JESUIT REFUGEE SERVICE USA,13,11712083.690000001,21238637.68,2015-03-02 00:00:00,2020-02-24 00:00:00,1016 16TH ST NW STE 200,,WASHINGTON,DC,DISTRICT OF COLUMBIA,200365700,0.0,2024620400,2023289212
